entity_id,entity_type,canonical_name,original_names,occurrences,source_methods,first_seen_doc
E0062,LinhVuc,Đầu tư,Đầu tư,1,gemini,95652
E0063,NguoiKy,Lê Minh Khái,Lê Minh Khái,1,metadata,163441
E0064,NguoiKy,Nguyễn Phú Trọng,Nguyễn Phú Trọng,2,metadata,26750
E0065,NguoiKy,Nguyễn Tấn Dũng,Nguyễn Tấn Dũng,1,metadata,95652
E0066,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,3,metadata,112025
E0067,NguoiKy,Nguyễn Đồng Tiến,Nguyễn Đồng Tiến,1,metadata,117310
E0068,NguoiKy,Nguyễn Đức Chi,Nguyễn Đức Chi,1,metadata,f69936f0-6937-11f1-a48d-29bc6b0fd706
E0069,NguoiKy,Phạm Thanh Hà,Phạm Thanh Hà,1,metadata,169221
E0070,NguoiKy,Trần Minh Tuấn,Trần Minh Tuấn,1,metadata,27257
E0071,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,2,metadata,30402
E0072,NguoiKy,Tạ Anh Tuấn,Tạ Anh Tuấn,1,metadata,150974
E0073,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,2,metadata,166170
E0074,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,9,metadata,173460
E0075,NguoiKy,Đào Minh Tú,Đào Minh Tú,4,metadata,38128
E0076,NguoiKy,Đỗ Hoàng Anh Tuấn,Đỗ Hoàng Anh Tuấn,1,gemini,143217
