source_id,source_so_ky_hieu,target_so_ky_hieu,trigger,evidence
27257,44/2011/TT-NHNN,46/2010/QH12,Căn cứ,"dụng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày"
27257,44/2011/TT-NHNN,47/2010/QH12,Căn cứ,m số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 96/2008/NĐ-CP ngày 26/8/2008 của
27257,44/2011/TT-NHNN,96/2008/NĐ-CP,Căn cứ,"tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 96/2008/NĐ-CP ngày 26/8/2008 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu"
143217,66/2020/TT-BTC,88/2015/QH,Căn cứ,Quy chế mẫu về kiểm toán nội bộ áp dụng cho doanh nghiệp Căn cứ Luật kế toán số 88/2015/QH 13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 0
143217,66/2020/TT-BTC,05/2019/NĐ-CP,Căn cứ,cứ Luật kế toán số 88/2015/QH 13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ; Căn cứ Nghị định s
143217,66/2020/TT-BTC,87/2017/NĐ-CP,Căn cứ,"gày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ; Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn"
168859,29/2024/TT-NHNN,102/2022/NĐ-CP,Căn cứ,"năm 2024; Căn cứ Luật Hợp tác xã ngày 17 tháng 6 năm 2023; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn"
168859,29/2024/TT-NHNN,04/2015/TT-NHNN,bãi bỏ,u lực thi hành từ ngày 01 tháng 7 năm 2024. 2. Thông tư này bãi bỏ: a) Thông tư 04/2015/TT-NHNN ngày 31/03/2015 của Thống đốc Ngân hàng Nhà nước quy định về quỹ tín dụng nhân
168859,29/2024/TT-NHNN,06/2017/TT-NHNN,bãi bỏ,"Thống đốc Ngân hàng Nhà nước quy định về quỹ tín dụng nhân dân; b) Thông tư số 06/2017/TT-NHNN ngày 05/7/2017 của Thống đốc Ngân hàng sửa đổi, bổ sung một số điều của Thông t"
168859,29/2024/TT-NHNN,03/2014/TT-NHNN,bãi bỏ,"05/7/2017 của Thống đốc Ngân hàng sửa đổi, bổ sung một số điều của Thông tư số 03/2014/TT-NHNN ngày 23/01/2014 của Thống đốc Ngân hàng Nhà nước quy định về quỹ bảo đảm an toà"
150974,08/2021/TT-BTC,8/2021/TT-BTC,Căn cứ,"Hạnh phúc Số: 8/2021/TT-BTC Hà Nội, ngày 25 tháng 01 năm 2021 THÔNG TƯ Ban hành chuẩn mực kiểm toán nội bộ"
150974,08/2021/TT-BTC,88/2015/QH13,Căn cứ,ghề nghiệp kiểm toán nội bộ ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm
150974,08/2021/TT-BTC,05/2019/NĐ-CP,Căn cứ,Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ; Căn cứ Nghị định s
150974,08/2021/TT-BTC,87/2017/NĐ-CP,Căn cứ,"gày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ; Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn"
164719,22/2023/TT-NHNN,41/2016/TT-NHNN,Căn cứ,"i, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ"
164719,22/2023/TT-NHNN,102/2022/NĐ-CP,Căn cứ,"ều của Luật Các tổ chức tín dụng ngày 20 tháng 11 năm 2017; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn"
164719,22/2023/TT-NHNN,41/2016/TT-NHNN,"Sửa đổi, bổ sung","ngày 29 tháng 12 năm 2023 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ"
173695,56/2024/TT-NHNN,102/2022/NĐ-CP,Căn cứ,"Căn cứ Luật Các tổ chức tín dụng ngày 18 tháng 01 năm 2024; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn"
186482,69/2025/TT-NHNN,46/2010/QH12,Căn cứ,"anh, đơn giản hóa thủ tục hành chính Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luậ"
186482,69/2025/TT-NHNN,32/2024/QH15,Căn cứ,"gân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-"
186482,69/2025/TT-NHNN,96/2025/QH15,Căn cứ,"cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ,"
186482,69/2025/TT-NHNN,26/2025/NĐ-CP,Căn cứ,"2/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngâ"
186482,69/2025/TT-NHNN,46/2010/QH12,"Sửa đổi, bổ sung","anh, đơn giản hóa thủ tục hành chính Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luậ"
186482,69/2025/TT-NHNN,32/2024/QH15,"Sửa đổi, bổ sung","gân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-"
186482,69/2025/TT-NHNN,96/2025/QH15,"Sửa đổi, bổ sung","cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP c"
186482,69/2025/TT-NHNN,26/2025/NĐ-CP,"Sửa đổi, bổ sung","2/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP c"
186482,69/2025/TT-NHNN,19/2013/TT,"Sửa đổi, bổ sung","MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 19/2013/TT- NHNN CỦA THỐNG ĐỐC NGÂN HÀNG NHÀ NƯỚC VIỆT NAM QUY ĐỊNH VỀ VIỆC MUA, BÁN VÀ XỬ"
186482,69/2025/TT-NHNN,43/2015/TT,"Sửa đổi, bổ sung","Điều 37 Thông tư này.”. Chương II SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 43/2015/TT- NHNN CỦA THỐNG ĐỐC NGÂN HÀNG NHÀ NƯỚC VIỆT NAM QUY ĐỊNH VỀ TỔ CHỨC VÀ HOẠT ĐỘN"
186482,69/2025/TT-NHNN,53/2018/TT,"Sửa đổi, bổ sung",ỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 53/2018/TT- NHNN CỦA THỐNG ĐỐC NGÂN HÀNG NHÀ NƯỚC VIỆT NAM QUY ĐỊNH VỀ MẠNG LƯỚI HOẠT ĐỘNG
112924,105/2016/TT-BTC,28/2005/PL-UBTVQH,Căn cứ,ật Kinh doanh bảo hiểm ngày 24 tháng 11 năm 2010; Căn cứ Pháp lệnh Ngoại hối số 28/2005/PL-UBTVQH ngày 13 thá
112924,105/2016/TT-BTC,06/2013/PL,Căn cứ,h Ngoại hối số 28/2005/PL-UBTVQH ngày 13 tháng 12 năm 2005; Căn cứ Pháp lệnh số 06/2013/PL
112924,105/2016/TT-BTC,06/2013/PL-UBTVQH13,Căn cứ,"h Ngoại hối số 28/2005/PL-UBTVQH ngày 13 tháng 12 năm 2005; Căn cứ Pháp lệnh số 06/2013/PL-UBTVQH13 ngày 18 tháng 03 năm 2013 sửa đổi, bổ su"
112924,105/2016/TT-BTC,215/2013/NĐ-CP,Căn cứ,"2013 sửa đổi, bổ sung một số điều của Pháp lệnh Ngoại hối; Căn cứ Nghị định số 215/2013/NĐ-CP ngày 23 tháng"
112924,105/2016/TT-BTC,135/2015/NĐ-CP,Căn cứ,"ng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Căn cứ Nghị định số 135/2015/NĐ-CP ngày 31 tháng 12 nă"
174218,62/2024/TT-NHNN,102/2022/NĐ-CP,Căn cứ,"năm 2020; Căn cứ Luật Cạnh tranh ngày 12 tháng 6 năm 2018; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn"
186888,62/2025/TT-NHNN,46/2010/QH12,Căn cứ,"hợp tác xã, tổ chức tài chính vi mô Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luậ"
186888,62/2025/TT-NHNN,32/2024/QH15,Căn cứ,"gân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-"
186888,62/2025/TT-NHNN,96/2025/QH15,Căn cứ,"cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ,"
186888,62/2025/TT-NHNN,26/2025/NĐ-CP,Căn cứ,"2/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngâ"
186888,62/2025/TT-NHNN,44/2011/TT-NHNN,bãi bỏ,ày có hiệu lực từ ngày 01 tháng 01 năm 2027. 2. Thông tư này bãi bỏ Thông tư số 44/2011/TT-NHNN ngày 29 tháng 12 năm 2011 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,52/VBHN-NHNN,102/2022/NĐ-CP,Căn cứ,"Căn cứ Luật Các tổ chức tín dụng ngày 18 tháng 01 năm 2024; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn"
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,52/VBHN-NHNN,162/2024/NĐ-CP,Căn cứ,HIỂM XÃ HỘI Kính gửi: Thống đốc Ngân hàng Nhà nước Việt Nam Căn cứ Nghị định số 162/2024/NĐ-CP ngày 20 tháng 12 năm 2024 của Chính phủ quy định điều kiện cấp Giấy phép đối vớ
185630,63/2025/TT-NHNN,46/2010/QH12,Căn cứ,"số Thông tư về quỹ tín dụng nhân dân Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luậ"
185630,63/2025/TT-NHNN,32/2024/QH15,Căn cứ,"gân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/20"
185630,63/2025/TT-NHNN,96/2025/QH15,Căn cứ,"cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của"
185630,63/2025/TT-NHNN,17/2023/QH15,Căn cứ,"/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ,"
185630,63/2025/TT-NHNN,26/2025/NĐ-CP,Căn cứ,"ật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngâ"
185630,63/2025/TT-NHNN,46/2010/QH12,"Sửa đổi, bổ sung","số Thông tư về quỹ tín dụng nhân dân Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luậ"
185630,63/2025/TT-NHNN,32/2024/QH15,"Sửa đổi, bổ sung","gân hàng Nhà nước Việt Nam số 46/2010/QH12; Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/20"
185630,63/2025/TT-NHNN,96/2025/QH15,"Sửa đổi, bổ sung","cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của"
185630,63/2025/TT-NHNN,17/2023/QH15,"Sửa đổi, bổ sung","/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ,"
185630,63/2025/TT-NHNN,26/2025/NĐ-CP,"Sửa đổi, bổ sung","ật số 96/2025/QH15; Căn cứ Luật Hợp tác xã số 17/2023/QH15; Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngâ"
185630,63/2025/TT-NHNN,29/2024/TT-NHNN,"Sửa đổi, bổ sung","về quỹ tín dụng nhân dân. Chương I SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 29/2024/TT-NHNN QUY ĐỊNH VỀ QUỸ TÍN DỤNG NHÂN DÂN Điều 1. Sửa đổi, bổ sung điểm d khoản 2 Điều"
185630,63/2025/TT-NHNN,01/2025/TT-NHNN,"Sửa đổi, bổ sung","án đã được phê duyệt.”. Chương II SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 01/2025/TT-NHNN QUY ĐỊNH VỀ CẤP GIẤY PHÉP LẦN ĐẦU, CẤP ĐỔI GIẤY PHÉP CỦA QUỸ TÍN DỤNG NHÂN DÂN"
185630,63/2025/TT-NHNN,10/2025/TT-NHNN,"Sửa đổi, bổ sung","tư số 01/2025/TT-NHNN. Chương III SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 10/2025/TT-NHNN QUY ĐỊNH VỀ TỔ CHỨC LẠI, THU HỒI GIẤY PHÉP VÀ THANH LÝ TÀI SẢN CỦA QUỸ TÍN DỤNG"
185630,63/2025/TT-NHNN,08/2025/TT-NHNN,bãi bỏ,"áng 02 năm 2026. 2. Thông tư này bãi bỏ quy định tại khoản 1 Điều 2 Thông tư số 08/2025/TT-NHNN ngày 06 tháng 6 năm 2025 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ"
185630,63/2025/TT-NHNN,43/2015/TT-NHNN,bãi bỏ,"ng đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của Thông tư số 43/2015/TT-NHNN ngày 31 tháng 12 năm 2015 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về"
117310,41/2016/TT-NHNN,46/2010/QH12,Căn cứ,"hàng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật các tổ chức tín dụng số 47/2010/QH12 ngày"
117310,41/2016/TT-NHNN,47/2010/QH12,Căn cứ,m số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11 tháng 11 n
117310,41/2016/TT-NHNN,156/2013/NĐ-CP,Căn cứ,"tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11 tháng 11 năm 2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn"
166269,17/2023/QH15,23/2012/QH13,bãi bỏ,"tác xã, liên hiệp hợp tác xã được ban hành theo quy định của Luật Hợp tác xã số 23/2012/QH13 được tiếp tục thực hiện cho đến khi hết thời gian áp dụng chính sách hoặc có vă"
